Source / Referrer,Network,Referral,Channel,Medium,Content Type
<companyName>,,Organic,Admin,Demonstration,Admin Demonstration
<companyName>,,Organic,Admin,Message,Admin Message
<companyName>,,Organic,Admin,Presentation,Admin Presentation
<companyName>,,Organic,Admin,Presentation,Admin Presentation
GoogleMeet,,Organic,Call,Demonstration,Call Demonstration
Zoom,,Organic,Call,Demonstration,Call Demonstration
Phone?Mobile?,,Organic,Call,Message,Call Message
SalesGenie,,Organic,Call,Message,Call Message
GoogleMeet,,Organic,Call,Presentation,Call Presentation
Zoom,,Organic,Call,Presentation,Call Presentation
<companyName>,,Organic,Direct,Article,Direct Article
<companyName>,,Organic,Direct,Collection,Direct Collection
<companyName>,,Organic,Direct,Demonstration,Direct Demonstration
<companyName>,,Organic,Direct,Document,Direct Document
<companyName>,,Organic,Direct,Page,Direct Page
<companyName>,,Organic,Direct,Presentation,Direct Presentation
<companyName>,,Organic,Direct,Video,Direct Video
Facebook,Facebook Network,Paid,Display,Dynamic,Display Dynamic
Google,Google Network,Paid,Display,Dynamic,Display Dynamic
Youtube,Google Network,Paid,Display,Video,Display Video
Gmail or <CompanyURL?>,,Organic,Email,Collection,Email Collection
MailChimp,,Organic,Email,Collection,Email Collection
Oblio,,Organic,Email,Collection,Email Collection
Gmail or <CompanyURL?>,,Organic,Email,Message,Email Message
MailChimp,,Organic,Email,Message,Email Message
Oblio,,Organic,Email,Message,Email Message
<referrerURL>,<parntershipAccount>,Paid,Email,Sponsorship,Email Sponsorship
Gmail or <CompanyURL?>,,Organic,Email,Video,Email Video
MailChimp,,Organic,Email,Video,Email Video
Oblio,,Organic,Email,Video,Email Video
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Demonstration,Event Demonstration
<eventName> + <eventLocation>,,Organic,Event,Demonstration,Event Demonstration
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Document,Event Document
<eventName> + <eventLocation>,,Organic,Event,Document,Event Document
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Exhibit,Event Exhibit
<eventName> + <eventLocation>,,Organic,Event,Exhibit,Event Exhibit
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Message,Event Message
<eventName> + <eventLocation>,,Organic,Event,Message,Event Message
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Networking,Event Networking
<eventName> + <eventLocation>,,Organic,Event,Networking,Event Networking
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Page,Event Page
<eventName> + <eventLocation>,,Organic,Event,Page,Event Page
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Presentation,Event Presentation
<eventName> + <eventLocation>,,Organic,Event,Presentation,Event Presentation
<eventName> + <eventLocation>,<eventHost> or <eventSupplier>,Paid,Event,Sponsorship,Event Sponsorship
<eventName> + <eventLocation>,,Organic,Event,Sponsorship,Event Sponsorship
<referrerURL>,<parntershipAccount>,Paid,Referral,Article,Referral Article
<referrerURL>,,Organic,Referral,Article,Referral Article
