ID,Source,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
1,Google,Affinity Audience,Banking & Finance,,,,,
2,Google,Affinity Audience,Banking & Finance,Avid Investors,,,,
3,Google,Affinity Audience,Beauty & Wellness,,,,,
4,Google,Affinity Audience,Beauty & Wellness,Beauty Mavens,,,,
5,Google,Affinity Audience,Beauty & Wellness,Frequently Visits Salons,,,,
6,Google,Affinity Audience,Food & Dining,,,,,
7,Google,Affinity Audience,Food & Dining,Coffee Shop Regulars,,,,
8,Google,Affinity Audience,Food & Dining,Cooking Enthusiasts,,,,
9,Google,Affinity Audience,Food & Dining,Cooking Enthusiasts,30 Minute Chefs,,,
10,Google,Affinity Audience,Food & Dining,Cooking Enthusiasts,Aspiring Chefs,,,
11,Google,Affinity Audience,Food & Dining,Fast Food Cravers,,,,
12,Google,Affinity Audience,Food & Dining,Foodies,,,,
13,Google,Affinity Audience,Food & Dining,Frequently Dines Out,,,,
14,Google,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,,,
15,Google,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,Frequently Eats Breakfast Out,,
16,Google,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,Frequently Eats Dinner Out,,
17,Google,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,Frequently Eats Lunch Out,,
18,Google,Affinity Audience,Home & Garden,,,,,
19,Google,Affinity Audience,Home & Garden,Do-It-Yourselfers,,,,
20,Google,Affinity Audience,Home & Garden,Home Decor Enthusiasts,,,,
21,Google,Affinity Audience,Lifestyles & Hobbies,,,,,
22,Google,Affinity Audience,Lifestyles & Hobbies,Art & Theater Aficionados,,,,
23,Google,Affinity Audience,Lifestyles & Hobbies,Business Professionals,,,,
24,Google,Affinity Audience,Lifestyles & Hobbies,Family-Focused,,,,
25,Google,Affinity Audience,Lifestyles & Hobbies,Fashionistas,,,,
26,Google,Affinity Audience,Lifestyles & Hobbies,Frequently Attends Live Events,,,,
27,Google,Affinity Audience,Lifestyles & Hobbies,Green Living Enthusiasts,,,,
28,Google,Affinity Audience,Lifestyles & Hobbies,Nightlife Enthusiasts,,,,
29,Google,Affinity Audience,Lifestyles & Hobbies,Outdoor Enthusiasts,,,,
30,Google,Affinity Audience,Lifestyles & Hobbies,Pet Lovers,,,,
31,Google,Affinity Audience,Lifestyles & Hobbies,Pet Lovers,Cat Lovers,,,
32,Google,Affinity Audience,Lifestyles & Hobbies,Pet Lovers,Dog Lovers,,,
33,Google,Affinity Audience,Lifestyles & Hobbies,Shutterbugs,,,,
34,Google,Affinity Audience,Lifestyles & Hobbies,Thrill Seekers,,,,
35,Google,Affinity Audience,Media & Entertainment,,,,,
36,Google,Affinity Audience,Media & Entertainment,Book Lovers,,,,
37,Google,Affinity Audience,Media & Entertainment,Comics & Animation Fans,,,,
38,Google,Affinity Audience,Media & Entertainment,Gamers,,,,
39,Google,Affinity Audience,Media & Entertainment,Gamers,Action Game Fans,,,
40,Google,Affinity Audience,Media & Entertainment,Gamers,Adventure & Strategy Game Fans,,,
41,Google,Affinity Audience,Media & Entertainment,Gamers,Casual & Social Gamers,,,
42,Google,Affinity Audience,Media & Entertainment,Gamers,Driving & Racing Game Fans,,,
43,Google,Affinity Audience,Media & Entertainment,Gamers,Hardcore Gamers,,,
44,Google,Affinity Audience,Media & Entertainment,Gamers,Roleplaying Game Fans,,,
45,Google,Affinity Audience,Media & Entertainment,Gamers,Shooter Game Fans,,,
46,Google,Affinity Audience,Media & Entertainment,Gamers,Sports Game Fans,,,
47,Google,Affinity Audience,Media & Entertainment,Gamers,Light TV Viewers,,,
48,Google,Affinity Audience,Media & Entertainment,Light TV Viewers,,,,
49,Google,Affinity Audience,Media & Entertainment,Movie Lovers,,,,
50,Google,Affinity Audience,Media & Entertainment,Movie Lovers,Action &venture Movie Fans,,,
51,Google,Affinity Audience,Media & Entertainment,Movie Lovers,Comedy Movie Fans,,,
52,Google,Affinity Audience,Media & Entertainment,Movie Lovers,Family Movie Fans,,,
53,Google,Affinity Audience,Media & Entertainment,Movie Lovers,Horror Movie Fans,,,
54,Google,Affinity Audience,Media & Entertainment,Movie Lovers,Romance & Drama Movie Fans,,,
55,Google,Affinity Audience,Media & Entertainment,Movie Lovers,Sci-Fi & Fantasy Movie Fans,,,
56,Google,Affinity Audience,Media & Entertainment,Movie Lovers,South Asian Film Fans,,,
57,Google,Affinity Audience,Media & Entertainment,,,,,
58,Google,Affinity Audience,Media & Entertainment,Music Lovers,,,,
59,Google,Affinity Audience,Media & Entertainment,Music Lovers,Blues Fans,,,
60,Google,Affinity Audience,Media & Entertainment,Music Lovers,Classical Music Enthusiasts,,,
61,Google,Affinity Audience,Media & Entertainment,Music Lovers,Country Music Fans,,,
62,Google,Affinity Audience,Media & Entertainment,Music Lovers,Electronic Dance Music Fans,,,
63,Google,Affinity Audience,Media & Entertainment,Music Lovers,Folk & Traditional Music Enthusiasts,,,
64,Google,Affinity Audience,Media & Entertainment,Music Lovers,Indie & Alternative Rock Fans,,,
65,Google,Affinity Audience,Media & Entertainment,Music Lovers,Jazz Enthusiasts,,,
66,Google,Affinity Audience,Media & Entertainment,Music Lovers,Metalheads,,,
67,Google,Affinity Audience,Media & Entertainment,Music Lovers,Pop Music Fans,,,
68,Google,Affinity Audience,Media & Entertainment,Music Lovers,Rap & Hip Hop Fans,,,
69,Google,Affinity Audience,Media & Entertainment,Music Lovers,Rock Music Fans,,,
70,Google,Affinity Audience,Media & Entertainment,Music Lovers,Spanish-Language Music Fans,,,
71,Google,Affinity Audience,Media & Entertainment,Music Lovers,World Music Fans,,,
72,Google,Affinity Audience,Media & Entertainment,TV Lovers,,,,
73,Google,Affinity Audience,Media & Entertainment,TV Lovers,Documentary & Nonfiction TV Fans,,,
74,Google,Affinity Audience,Media & Entertainment,TV Lovers,Family Television Fans,,,
