qualifier name,object,map,field,Activity Fields,Content Fields
accounts : basic : account Logo,accounts,basic,account Logo,,
accounts : basic : accountName,accounts,basic,accountName,,
accounts : details : messenger,accounts,details,messenger,,
accounts : details : messenger2,accounts,details,messenger2,,
accounts : details : messengerType,accounts,details,messengerType,,
accounts : details : messengerType2,accounts,details,messengerType2,,
accounts : firmographics : CompanyRevenue,accounts,firmographics,CompanyRevenue,,
accounts : firmographics : CompanySize,accounts,firmographics,CompanySize,,
accounts : firmographics : estRevenue,accounts,firmographics,estRevenue,,
accounts : firmographics : Industry,accounts,firmographics,Industry,,
accounts : firmographics : sector,accounts,firmographics,sector,,
accounts : links : url Facebook,accounts,links,url Facebook,,
accounts : links : url G2 Crowd,accounts,links,url G2 Crowd,,
accounts : links : url Homepage,accounts,links,url Homepage,,
accounts : links : url Linkedin,accounts,links,url Linkedin,,
accounts : links : url Twitter,accounts,links,url Twitter,,
accounts : links : urlBlog,accounts,links,urlBlog,,
accounts : links : urlCapterra,accounts,links,urlCapterra,,
accounts : links : urlContactPage,accounts,links,urlContactPage,,
accounts : links : urlOther,accounts,links,urlOther,,
accounts : locations : locationId,accounts,locations,locationId,,
accounts : personas : personaID,accounts,personas,personaID,,
accounts : primary : Billing,accounts,primary,Billing,,
accounts : primary : DecisionMaker,accounts,primary,DecisionMaker,,
accounts : primary : EndUser,accounts,primary,EndUser,,
accounts : primary : Team,accounts,primary,Team,,
accounts : primary : Primary Contact,accounts,primary,Primary Contact,,
accounts : score : health,accounts,score,health,,
accounts : technographics : techconfirmed,accounts,technographics,techconfirmed,,
accounts : technographics : techProfile,accounts,technographics,techProfile,,
activities : basic : converted,activities,basic,converted,,
activities : basic : status,activities,basic,status,,
activities : basic : type,activities,basic,type,,
activities : content : type,activities,content,type,,
contacts : basic : first name,contacts,basic,first name,,
contacts : basic : image Avatar,contacts,basic,image Avatar,,
contacts : basic : last name,contacts,basic,last name,,
contacts : concent : data Policy,contacts,concent,data Policy,,
contacts : concent : marketing OptIn,contacts,concent,marketing OptIn,,
contacts : concent : privacy Policy,contacts,concent,privacy Policy,,
contacts : concent : sales Optin,contacts,concent,sales Optin,,
contacts : concent : terms Conditions,contacts,concent,terms Conditions,,
contacts : demographics : age Range,contacts,demographics,age Range,,
contacts : demographics : birthdate,contacts,demographics,birthdate,,
contacts : demographics : city,contacts,demographics,city,,
contacts : demographics : country,contacts,demographics,country,,
contacts : demographics : gender,contacts,demographics,gender,,
contacts : demographics : stateRegion,contacts,demographics,stateRegion,,
contacts : details : email,contacts,details,email,,
contacts : details : emailWork,contacts,details,emailWork,,
contacts : details : emailWork1,contacts,details,emailWork1,,
contacts : details : messenger,contacts,details,messenger,,
contacts : details : messenger2,contacts,details,messenger2,,
contacts : details : messengerType,contacts,details,messengerType,,
contacts : details : messengerType2,contacts,details,messengerType2,,
contacts : details : phone,contacts,details,phone,,
contacts : details : phoneWork,contacts,details,phoneWork,,
contacts : links : url Account,contacts,links,url Account,,
contacts : links : url Facebook,contacts,links,url Facebook,,
contacts : links : url Linkedin,contacts,links,url Linkedin,,
contacts : links : url Twitter,contacts,links,url Twitter,,
contacts : opportunity Type(status) : ,contacts,opportunity Type(status),,,
contacts : primary : accountID,contacts,primary,accountID,,
contacts : primary : Department,contacts,primary,Department,,
contacts : primary : job Title,contacts,primary,job Title,,
contacts : primary : productID,contacts,primary,productID,,
contacts : primary : productPersona,contacts,primary,productPersona,,
contacts : primary : seniority,contacts,primary,seniority,,
contacts : primary : End User,contacts,primary,End User,,
contacts : primary : team,contacts,primary,team,,
contacts : score : health,contacts,score,health,,
contacts : score : persona,contacts,score,persona,,
contents : basic : name,contents,basic,name,,
contents : basic : url,contents,basic,url,,
contents : basic : type,contents,basic,type,,
opportunities : primary : Billing,opportunities,primary,Billing,,
opportunities : primary : DecisionMaker,opportunities,primary,DecisionMaker,,
opportunities : primary : EndUser,opportunities,primary,EndUser,,
opportunities : primary : Team,opportunities,primary,Team,,
opportunities : primary : Primary Contact,opportunities,primary,Primary Contact,,
opportunities : value : Contract Type,opportunities,value,Contract Type,,
opportunities : value : Currency,opportunities,value,Currency,,
opportunities : value : opportunity BillingType,opportunities,value,opportunity BillingType,,
opportunities : value : sumPrice,opportunities,value,sumPrice,,
