,Audience Type,Parent,Child,Grandchild,Great - Grandchild,Great Great Grandchild,
1,Affinity Audience,Banking & Finance,,,,,
2,Affinity Audience,Banking & Finance,Avid Investors,,,,
3,Affinity Audience,Beauty & Wellness,,,,,
4,Affinity Audience,Beauty & Wellness,Beauty Mavens,,,,
5,Affinity Audience,Beauty & Wellness,Frequently Visits Salons,,,,
6,Affinity Audience,Food & Dining,,,,,
7,Affinity Audience,Food & Dining,Coffee Shop Regulars,,,,
8,Affinity Audience,Food & Dining,Cooking Enthusiasts,,,,
9,Affinity Audience,Food & Dining,Cooking Enthusiasts,30 Minute Chefs,,,
10,Affinity Audience,Food & Dining,Cooking Enthusiasts,Aspiring Chefs,,,
11,Affinity Audience,Food & Dining,Fast Food Cravers,,,,
12,Affinity Audience,Food & Dining,Foodies,,,,
13,Affinity Audience,Food & Dining,Frequently Dines Out,,,,
14,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,,,
15,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,Frequently Eats Breakfast Out,,
16,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,Frequently Eats Dinner Out,,
17,Affinity Audience,Food & Dining,Frequently Dines Out,Diners by Meal,Frequently Eats Lunch Out,,
18,Affinity Audience,Home & Garden,,,,,
19,Affinity Audience,Home & Garden,Do-It-Yourselfers,,,,
20,Affinity Audience,Home & Garden,Home Decor Enthusiasts,,,,
21,Affinity Audience,Lifestyles & Hobbies,,,,,
22,Affinity Audience,Lifestyles & Hobbies,Art & Theater Aficionados,,,,
23,Affinity Audience,Lifestyles & Hobbies,Business Professionals,,,,
24,Affinity Audience,Lifestyles & Hobbies,Family-Focused,,,,
25,Affinity Audience,Lifestyles & Hobbies,Fashionistas,,,,
26,Affinity Audience,Lifestyles & Hobbies,Frequently Attends Live Events,,,,
27,Affinity Audience,Lifestyles & Hobbies,Green Living Enthusiasts,,,,
