"A2: field_name (e.g., Hello World)","B2: field_ref (e.g., fields/example)",,code
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Agriculture,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Agriculture""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Arts,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Arts""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Construction,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Construction""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Consumer Goods,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Consumer Goods""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Corporate Services,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Corporate Services""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Design,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Design""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Education,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Education""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Energy & Mining,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Energy & Mining""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Entertainment,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Entertainment""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Finance,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Finance""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Hardware & Networking,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Hardware & Networking""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Health Care,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Health Care""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Legal,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Legal""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Manufacturing,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Manufacturing""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Media & Communications,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Media & Communications""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Nonprofit,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Nonprofit""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Public Safety,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Public Safety""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Publicministration,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Publicministration""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Real Estate,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Real Estate""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Recreation & Travel,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Recreation & Travel""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Retail,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Retail""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Software & IT Services,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Software & IT Services""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Transportation & Logistics,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Transportation & Logistics""},"
Sector,/fields/GfEh2bq4cP2ftJo2pj6M,Wellness & Fitness,"{""field_name"":""Sector"",""field_ref"":{""__ref__"":""/fields/GfEh2bq4cP2ftJo2pj6M""},""property_value"":""Wellness & Fitness""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Dairy,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Dairy""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Farming,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Farming""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Fishery,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Fishery""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Ranching,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Ranching""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Arts & Crafts,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Arts & Crafts""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Fine Art,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Fine Art""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Performing Arts,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Performing Arts""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Photography,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Photography""},"
Industry,/fields/XrcMO9kfRnz3X63BqgHg,Building Materials,"{""field_name"":""Industry"",""field_ref"":{""__ref__"":""/fields/XrcMO9kfRnz3X63BqgHg""},""property_value"":""Building Materials""},"
