A2: field_name ,B2: property_value ,C2: field_ref ,D2: relations: field_name,E2: relations: fproperty_value,F2: relations: field_ref
Industry,Dairy,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Agriculture,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Farming,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Agriculture,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Fishery,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Agriculture,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Ranching,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Agriculture,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Arts & Crafts,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Arts,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Fine Art,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Arts,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Performing Arts,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Arts,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Photography,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Arts,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Building Materials,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Construction,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Civil Engineering,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Construction,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Construction,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Construction,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Apparel & Fashion,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Consumer Electronics,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Consumer Goods,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Consumer Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Cosmetics,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Food & Beverages,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Furniture,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Luxury Goods & Jewelry,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Sporting Goods,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Tobacco,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Wine & Spirits,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Consumer Goods,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Accounting,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Business Supplies & Equipment,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Environmental Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Events Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Executive Office,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Facilities Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Human Resources,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Information Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Management Consulting,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Outsourcing/Offshoring,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Professional Training & Coaching,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Security & Investigations,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Staffing & Recruiting,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Corporate Services,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Architecture & Planning,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Design,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Design,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Design,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Graphic Design,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Design,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,E-learning,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Education,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Education Management,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Education,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Higher Education,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Education,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Primary/Secondary Education,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Education,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Research,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Education,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Mining & Metals,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Energy & Mining,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Oil & Energy,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Energy & Mining,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Utilities,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Energy & Mining,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Animation,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Broadcast Media,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Computer Games,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Entertainment,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Media Production,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Mobile Games,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Motion Pictures & Film,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Music,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Entertainment,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Banking,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Finance,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Capital Markets,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Finance,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Financial Services,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Finance,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Insurance,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Finance,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Investment Banking,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Finance,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Investment Management,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Finance,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Venture Capital & Private Equity,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Finance,/fields/GfEh2bq4cP2ftJo2pj6M
Industry,Computer Hardware,/fields/XrcMO9kfRnz3X63BqgHg,Sector,Hardware & Networking,/fields/GfEh2bq4cP2ftJo2pj6M
